credit_appl,account_balance,duration_credit_month,payment_status,purpose,credit_amount,value_savings_stocks,length_current_employment,installment_per_cent,Most_valuable_asset_available,age_years,type_of_apartment,num_credits_at_bank
1,1,4,0,3,1494,2,0,1,1,33,2,1
1,1,4,0,0,1494,2,0,1,1,29,2,1
1,1,4,1,0,1544,0,1,2,1,42,2,2
1,1,4,1,0,3380,0,1,1,1,37,2,1
1,0,6,0,0,343,0,0,4,1,27,2,1
1,1,6,1,0,362,1,0,4,3,52,2,2
0,0,6,2,0,433,2,0,4,2,24,1,1
1,0,6,0,0,454,0,0,3,2,22,2,1
1,0,6,0,0,484,0,1,3,1,28,2,1
1,1,6,0,0,660,2,1,2,1,23,1,1
1,0,6,1,0,666,2,1,3,1,39,2,2
1,1,6,1,0,700,2,2,4,4,36,3,2
1,1,6,0,0,709,2,0,2,1,27,2,1
1,0,6,1,0,932,2,1,1,2,39,2,2
1,1,6,1,0,1047,0,0,2,2,50,2,1
1,0,6,0,0,1068,0,2,4,3,28,2,1
1,0,6,0,0,1203,1,2,3,2,43,2,1
1,1,6,1,1,1221,2,0,1,2,27,2,2
1,1,6,0,2,1236,2,0,2,2,50,1,1
1,1,6,0,0,1338,2,0,1,1,62,2,1
1,1,6,0,0,1346,1,2,2,4,42,3,1
1,0,6,1,0,1361,0,0,2,1,40,2,1
1,0,6,0,1,1374,0,0,1,1,36,2,1
1,0,6,0,0,1374,2,0,4,2,75,2,1
1,0,6,1,0,1449,1,2,1,3,31,2,2
1,1,6,0,0,1538,0,0,1,4,56,2,1
1,1,6,0,1,1543,2,0,4,1,33,2,1
1,1,6,1,0,1898,2,0,1,1,34,2,2
1,0,6,0,0,2063,0,0,4,3,30,1,1
1,1,6,0,0,2108,0,1,2,1,29,1,1
1,1,6,0,1,2116,0,0,2,1,41,2,1
1,1,6,0,1,2978,2,0,1,3,32,2,1
1,0,6,1,0,3676,0,0,1,1,37,1,2
0,1,6,0,1,4611,0,0,1,2,32,2,1
1,0,6,1,0,4716,2,0,1,1,44,2,2
1,1,6,1,0,6761,0,1,1,4,45,2,2
0,0,6,0,0,14555,2,0,1,2,23,2,1
0,0,6,0,0,14896,0,2,1,4,68,2,1
1,1,7,1,0,730,2,2,4,2,46,1,2
1,1,7,1,0,846,2,2,3,4,36,3,1
1,0,7,0,0,2576,0,0,2,1,35,2,1
1,0,8,0,0,760,0,1,4,1,44,2,1
1,0,8,0,0,907,0,0,3,1,26,2,1
1,0,8,1,0,1164,0,2,3,4,51,3,2
1,0,8,0,0,1414,0,0,4,1,33,2,1
1,0,8,1,0,3398,0,1,1,1,39,2,2
1,0,9,0,0,276,0,0,4,1,22,1,1
0,1,9,0,0,745,0,0,3,1,28,2,1
1,1,9,1,0,936,2,2,4,3,52,2,2
0,0,9,0,1,959,0,0,1,3,29,2,1
1,0,9,1,0,1138,0,0,4,1,25,2,2
1,0,9,1,0,1154,0,2,2,1,37,2,2
1,0,9,0,3,1199,0,1,4,2,33,2,2
1,0,9,0,0,1199,0,1,4,2,67,2,2
1,1,9,1,0,1224,0,0,3,1,30,2,2
1,1,9,1,0,1244,2,2,4,2,41,1,2
0,1,9,2,0,1337,0,0,4,3,34,2,2
1,0,9,0,0,1364,0,1,3,1,59,2,1
1,1,9,0,1,1388,0,0,4,1,26,1,1
1,0,9,0,0,1391,0,0,2,1,27,2,1
0,0,9,2,0,1437,1,1,2,4,29,2,1
1,1,9,0,0,1449,0,1,3,3,27,2,2
0,0,9,1,0,1501,0,2,2,3,34,2,2
1,0,9,0,3,1549,2,0,4,1,33,2,1
1,0,9,0,0,1549,2,0,4,1,35,2,1
0,0,9,0,0,1670,0,0,4,3,22,2,1
1,0,9,1,1,1919,0,1,4,3,35,1,1
1,0,9,0,1,2030,2,1,2,3,24,2,1
1,1,9,1,0,2134,0,0,4,3,48,2,2
1,1,9,1,1,2406,0,0,2,3,31,2,1
1,1,9,0,0,2697,0,0,1,1,32,2,1
1,0,9,0,0,3195,2,0,1,1,33,2,1
0,0,9,2,2,5129,0,2,2,4,74,3,1
1,1,10,0,0,1225,0,0,2,3,37,2,1
0,1,10,0,0,1240,1,2,1,4,48,3,1
1,1,10,0,1,1275,0,0,4,2,23,2,1
0,1,10,0,0,1309,2,0,4,2,27,2,1
1,1,10,0,0,1364,0,0,2,3,64,2,1
1,1,10,0,0,1546,0,0,3,1,31,2,1
1,0,10,1,0,2241,0,0,1,1,48,1,2
1,0,10,0,0,2315,0,2,3,1,52,2,1
1,1,10,0,2,2901,2,0,1,1,31,1,1
1,1,10,0,0,3949,0,0,1,2,37,2,1
1,0,10,0,0,7308,0,0,2,4,70,3,1
1,1,11,1,0,1154,1,0,4,1,57,2,2
1,0,11,1,0,1322,2,0,4,3,40,2,2
1,0,11,0,1,1577,2,0,4,1,20,2,1
1,1,11,0,0,2142,2,2,1,1,28,2,1
1,0,11,1,0,3939,0,0,1,1,40,2,2
1,0,12,2,0,339,0,2,4,3,45,2,1
1,0,12,1,0,385,0,1,4,1,58,2,2
1,0,12,1,0,585,0,0,4,1,20,1,2
1,0,12,0,0,625,0,0,4,1,26,2,1
0,0,12,0,0,639,0,0,4,3,30,2,1
1,0,12,0,1,652,0,2,4,2,24,1,1
0,0,12,0,0,674,1,1,4,2,20,2,1
1,1,12,1,0,682,1,1,4,3,51,2,2
0,0,12,2,0,697,0,0,4,3,46,2,2
1,1,12,1,0,701,0,0,4,3,32,2,2
1,0,12,0,0,701,0,0,4,1,40,2,1
1,0,12,0,1,708,0,0,2,2,38,2,1
1,1,12,1,0,717,0,2,4,1,52,2,2
0,1,12,0,0,719,0,2,4,3,41,2,1
1,0,12,0,0,754,2,2,4,2,38,2,2
0,0,12,0,0,759,0,1,4,1,26,2,1
1,1,12,0,1,763,0,0,4,1,26,2,1
0,0,12,0,0,766,2,0,4,1,66,2,1
0,1,12,1,3,797,2,2,4,2,33,2,1
0,1,12,1,0,797,2,2,4,2,33,2,1
1,0,12,0,0,841,1,1,2,1,23,1,1
1,1,12,0,0,886,2,0,4,3,21,2,1
0,0,12,0,0,888,0,2,4,3,41,2,1
0,0,12,0,0,900,2,0,4,3,23,2,1
0,0,12,0,0,902,0,1,4,2,21,1,1
1,1,12,1,0,926,0,0,1,2,38,2,1
1,1,12,1,3,930,2,2,4,1,33,2,2
1,1,12,1,0,930,2,2,4,1,65,2,2
1,0,12,1,0,958,0,1,2,1,47,2,2
1,0,12,0,1,983,2,0,1,1,19,1,1
1,1,12,1,0,996,2,1,4,1,23,2,2
1,0,12,0,0,1037,1,1,3,1,39,2,1
1,0,12,0,0,1103,0,1,4,1,29,2,2
1,0,12,0,0,1107,0,0,2,1,20,1,1
0,0,12,2,0,1108,0,1,4,1,28,2,2
0,1,12,0,1,1123,2,0,4,3,29,1,1
1,0,12,0,0,1158,2,0,3,3,26,2,1
1,1,12,1,0,1185,0,0,3,1,27,2,2
1,0,12,0,0,1200,2,0,4,2,23,1,1
0,0,12,0,0,1223,0,2,1,1,46,1,2
0,0,12,0,0,1228,0,0,4,1,24,2,1
1,1,12,1,0,1240,2,2,4,1,38,2,2
1,1,12,1,1,1258,0,0,2,2,22,1,2
1,1,12,0,0,1262,0,0,3,3,25,2,1
0,0,12,0,0,1274,0,0,3,1,37,2,1
1,0,12,0,1,1289,0,0,4,2,21,2,1
1,0,12,0,0,1318,2,2,4,1,54,2,1
1,1,12,0,0,1330,0,0,4,1,26,2,1
0,0,12,0,0,1331,0,0,2,3,22,2,1
0,1,12,0,0,1386,2,0,2,2,26,2,1
1,1,12,1,3,1402,2,1,3,3,33,1,1
1,1,12,1,1,1402,2,1,3,3,37,1,1
1,0,12,1,2,1409,0,2,4,1,54,2,1
1,0,12,1,0,1424,0,1,4,2,26,2,1
1,1,12,0,1,1424,2,2,3,1,55,2,1
1,1,12,0,1,1474,0,0,4,2,33,2,1
0,0,12,0,0,1484,2,0,2,1,25,2,1
1,1,12,0,0,1493,0,0,4,3,34,2,1
1,1,12,1,2,1503,0,0,4,1,41,1,1
1,0,12,1,2,1526,0,2,4,4,66,3,2
0,1,12,1,0,1555,2,2,4,4,55,3,2
1,0,12,0,1,1620,0,0,2,2,30,2,1
1,1,12,0,3,1736,0,1,3,1,33,2,1
1,1,12,0,1,1736,0,1,3,1,31,2,1
1,0,12,0,1,1858,0,0,4,3,22,1,1
1,0,12,1,2,1860,0,0,4,3,34,2,2
1,1,12,0,0,1884,0,2,4,3,39,2,1
1,0,12,0,0,1893,0,0,4,2,29,2,1
1,0,12,1,0,1995,1,0,4,3,27,2,1
1,0,12,0,0,2002,0,1,3,2,30,1,1
1,1,12,1,0,2012,2,1,4,3,61,2,1
1,0,12,1,0,2121,0,0,4,2,30,2,2
1,1,12,0,0,2141,1,1,3,4,35,2,1
1,1,12,0,0,2171,0,0,2,3,29,2,1
1,0,12,1,0,2171,0,0,4,2,38,2,2
0,0,12,1,1,2246,0,2,3,2,60,2,2
1,1,12,1,0,2247,0,0,2,3,36,2,2
1,1,12,0,0,2279,2,0,4,4,37,3,1
0,1,12,1,0,2292,0,0,4,3,42,2,2
1,0,12,0,1,2577,0,0,2,3,42,2,1
1,1,12,1,0,2748,0,2,2,4,57,3,2
1,1,12,0,0,2859,2,0,4,4,38,2,1
1,0,12,0,0,2930,0,1,2,1,27,2,1
1,0,12,0,3,3017,0,0,3,1,33,1,1
1,0,12,0,1,3017,0,0,3,1,34,1,1
1,0,12,1,0,3124,0,0,1,1,49,2,2
1,1,12,1,1,3331,0,2,2,2,42,2,1
1,1,12,0,0,3399,2,2,2,3,37,2,1
1,1,12,0,0,3527,2,0,2,2,45,2,1
1,1,12,1,1,5801,2,2,2,2,49,1,1
0,0,12,0,0,6468,2,0,2,4,52,2,1
1,0,12,0,0,7472,2,0,1,1,24,1,1
1,1,13,0,0,1409,1,0,2,1,64,2,1
1,0,14,0,0,1410,2,2,1,1,35,2,1
0,0,14,0,0,8978,0,2,1,2,45,2,1
0,0,15,2,0,950,0,2,4,3,33,1,2
1,1,15,1,1,960,2,1,3,2,30,2,2
1,0,15,1,1,975,0,0,2,2,25,2,2
1,1,15,0,2,1300,2,2,4,4,45,3,1
1,0,15,0,0,1308,0,2,4,3,38,2,2
1,1,15,1,0,1360,0,0,4,2,31,2,2
1,1,15,0,0,1386,2,0,4,1,40,1,1
1,1,15,1,0,1471,0,0,4,4,35,3,2
0,0,15,1,0,1512,2,0,3,2,61,2,2
1,1,15,1,1,1520,2,2,4,2,63,2,1
0,0,15,2,0,1778,0,0,2,1,26,1,2
1,1,15,1,0,1829,0,2,4,3,46,2,2
1,1,15,0,0,1905,0,2,4,3,40,1,1
1,1,15,0,1,2221,2,0,2,3,20,1,1
1,0,15,1,0,2326,2,0,2,3,27,2,1
0,1,15,0,0,2327,0,0,2,1,25,2,1
1,0,15,0,0,2511,0,0,1,3,23,1,1
0,0,15,0,0,2631,1,0,2,3,28,1,2
1,1,15,0,0,2687,0,1,2,2,26,1,1
1,1,15,1,1,2788,0,1,2,3,24,2,2
1,1,15,0,0,3186,2,1,2,3,20,1,1
1,1,15,1,1,3343,0,0,4,4,28,3,1
1,1,15,1,2,3594,0,0,1,2,46,2,2
1,1,15,0,2,4657,0,0,3,3,30,2,1
0,0,16,1,0,2625,0,2,2,2,43,1,1
1,0,18,0,0,866,0,0,4,1,25,2,1
