credit_appl,account_balance,duration_credit_month,payment_status,purpose,credit_amount,value_savings_stocks,length_current_employment,installment_per_cent,Most_valuable_asset_available,age_years,type_of_apartment,num_credits_at_bank
Creditworthy,Some Balance,4,Paid Up,Other,1494,100 - 1000,< 1yr,1,1,33,2,1
Creditworthy,Some Balance,4,Paid Up,Home Related,1494,100 - 1000,< 1yr,1,1,29,2,1
Creditworthy,Some Balance,4,No problems,Home Related,1544,None,1 - 4yrs,2,1,42,2,More than 1
Creditworthy,Some Balance,4,No problems,Home Related,3380,None,1 - 4yrs,1,1,37,2,1
Creditworthy,No Account,6,Paid Up,Home Related,343,None,< 1yr,4,1,27,2,1
Creditworthy,Some Balance,6,No problems,Home Related,362,< 100,< 1yr,4,3,52,2,More than 1
Non-creditworthy,No Account,6,some problems,Home Related,433,100 - 1000,< 1yr,4,2,24,1,1
Creditworthy,No Account,6,Paid Up,Home Related,454,None,< 1yr,3,2,22,2,1
Creditworthy,No Account,6,Paid Up,Home Related,484,None,1 - 4yrs,3,1,28,2,1
Creditworthy,Some Balance,6,Paid Up,Home Related,660,100 - 1000,1 - 4yrs,2,1,23,1,1
Creditworthy,No Account,6,No problems,Home Related,666,100 - 1000,1 - 4yrs,3,1,39,2,More than 1
Creditworthy,Some Balance,6,No problems,Home Related,700,100 - 1000,4 - 7yrs,4,4,36,3,More than 1
Creditworthy,Some Balance,6,Paid Up,Home Related,709,100 - 1000,< 1yr,2,1,27,2,1
Creditworthy,No Account,6,No problems,Home Related,932,100 - 1000,1 - 4yrs,1,2,39,2,More than 1
Creditworthy,Some Balance,6,No problems,Home Related,1047,None,< 1yr,2,2,50,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1068,None,4 - 7yrs,4,3,28,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1203,< 100,4 - 7yrs,3,2,43,2,1
Creditworthy,Some Balance,6,No problems,Used Car,1221,100 - 1000,< 1yr,1,2,27,2,More than 1
Creditworthy,Some Balance,6,Paid Up,New Car,1236,100 - 1000,< 1yr,2,2,50,1,1
Creditworthy,Some Balance,6,Paid Up,Home Related,1338,100 - 1000,< 1yr,1,1,62,2,1
Creditworthy,Some Balance,6,Paid Up,Home Related,1346,< 100,4 - 7yrs,2,4,42,3,1
Creditworthy,No Account,6,No problems,Home Related,1361,None,< 1yr,2,1,40,2,1
Creditworthy,No Account,6,Paid Up,Used Car,1374,None,< 1yr,1,1,36,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1374,100 - 1000,< 1yr,4,2,75,2,1
Creditworthy,No Account,6,No problems,Home Related,1449,< 100,4 - 7yrs,1,3,31,2,More than 1
Creditworthy,Some Balance,6,Paid Up,Home Related,1538,None,< 1yr,1,4,56,2,1
Creditworthy,Some Balance,6,Paid Up,Used Car,1543,100 - 1000,< 1yr,4,1,33,2,1
Creditworthy,Some Balance,6,No problems,Home Related,1898,100 - 1000,< 1yr,1,1,34,2,More than 1
Creditworthy,No Account,6,Paid Up,Home Related,2063,None,< 1yr,4,3,30,1,1
Creditworthy,Some Balance,6,Paid Up,Home Related,2108,None,1 - 4yrs,2,1,29,1,1
Creditworthy,Some Balance,6,Paid Up,Used Car,2116,None,< 1yr,2,1,41,2,1
Creditworthy,Some Balance,6,Paid Up,Used Car,2978,100 - 1000,< 1yr,1,3,32,2,1
Creditworthy,No Account,6,No problems,Home Related,3676,None,< 1yr,1,1,37,1,More than 1
Non-creditworthy,Some Balance,6,Paid Up,Used Car,4611,None,< 1yr,1,2,32,2,1
Creditworthy,No Account,6,No problems,Home Related,4716,100 - 1000,< 1yr,1,1,44,2,More than 1
Creditworthy,Some Balance,6,No problems,Home Related,6761,None,1 - 4yrs,1,4,45,2,More than 1
Non-creditworthy,No Account,6,Paid Up,Home Related,14555,100 - 1000,< 1yr,1,2,23,2,1
Non-creditworthy,No Account,6,Paid Up,Home Related,14896,None,4 - 7yrs,1,4,68,2,1
Creditworthy,Some Balance,7,No problems,Home Related,730,100 - 1000,4 - 7yrs,4,2,46,1,More than 1
Creditworthy,Some Balance,7,No problems,Home Related,846,100 - 1000,4 - 7yrs,3,4,36,3,1
Creditworthy,No Account,7,Paid Up,Home Related,2576,None,< 1yr,2,1,35,2,1
Creditworthy,No Account,8,Paid Up,Home Related,760,None,1 - 4yrs,4,1,44,2,1
Creditworthy,No Account,8,Paid Up,Home Related,907,None,< 1yr,3,1,26,2,1
Creditworthy,No Account,8,No problems,Home Related,1164,None,4 - 7yrs,3,4,51,3,More than 1
Creditworthy,No Account,8,Paid Up,Home Related,1414,None,< 1yr,4,1,33,2,1
Creditworthy,No Account,8,No problems,Home Related,3398,None,1 - 4yrs,1,1,39,2,More than 1
Creditworthy,No Account,9,Paid Up,Home Related,276,None,< 1yr,4,1,22,1,1
